Test set Size =         328;	Fault Coverage : 0.944574 
Test set Size =         329;	Fault Coverage : 0.944574 
Test set Size =         330;	Fault Coverage : 0.944574 
Test set Size =         331;	Fault Coverage : 0.944574 
Test set Size =         332;	Fault Coverage : 0.944574 
Test set Size =         333;	Fault Coverage : 0.944574 
Test set Size =         334;	Fault Coverage : 0.944574 
Test set Size =         335;	Fault Coverage : 0.944574 
Test set Size =         336;	Fault Coverage : 0.944574 
Test set Size =         337;	Fault Coverage : 0.944574 
Test set Size =         338;	Fault Coverage : 0.945042 
Test set Size =         339;	Fault Coverage : 0.945042 
Test set Size =         340;	Fault Coverage : 0.945042 
Test set Size =         341;	Fault Coverage : 0.945042 
Test set Size =         342;	Fault Coverage : 0.945042 
Test set Size =         343;	Fault Coverage : 0.945042 
Test set Size =         344;	Fault Coverage : 0.945042 
Test set Size =         345;	Fault Coverage : 0.945042 
Test set Size =         346;	Fault Coverage : 0.945042 
Test set Size =         347;	Fault Coverage : 0.945042 
Test set Size =         348;	Fault Coverage : 0.945042 
Test set Size =         349;	Fault Coverage : 0.945042 
Test set Size =         350;	Fault Coverage : 0.945042 
Test set Size =         351;	Fault Coverage : 0.945042 
Test set Size =         352;	Fault Coverage : 0.945042 
Test set Size =         353;	Fault Coverage : 0.945042 
Test set Size =         354;	Fault Coverage : 0.945042 
Test set Size =         355;	Fault Coverage : 0.945978 
Test set Size =         356;	Fault Coverage : 0.945978 
Test set Size =         357;	Fault Coverage : 0.945978 
Test set Size =         358;	Fault Coverage : 0.945978 
Test set Size =         359;	Fault Coverage : 0.945978 
Test set Size =         360;	Fault Coverage : 0.945978 
Test set Size =         361;	Fault Coverage : 0.945978 
Test set Size =         362;	Fault Coverage : 0.945978 
Test set Size =         363;	Fault Coverage : 0.945978 
Test set Size =         364;	Fault Coverage : 0.945978 
Test set Size =         365;	Fault Coverage : 0.945978 
Test set Size =         366;	Fault Coverage : 0.945978 
Test set Size =         367;	Fault Coverage : 0.945978 
Test set Size =         368;	Fault Coverage : 0.945978 
Test set Size =         369;	Fault Coverage : 0.945978 
Test set Size =         370;	Fault Coverage : 0.945978 
Test set Size =         371;	Fault Coverage : 0.945978 
Test set Size =         372;	Fault Coverage : 0.945978 
Test set Size =         373;	Fault Coverage : 0.947615 
Test set Size =         374;	Fault Coverage : 0.947615 
Test set Size =         375;	Fault Coverage : 0.947615 
Test set Size =         376;	Fault Coverage : 0.947615 
Test set Size =         377;	Fault Coverage : 0.947615 
Test set Size =         378;	Fault Coverage : 0.947615 
Test set Size =         379;	Fault Coverage : 0.947615 
Test set Size =         380;	Fault Coverage : 0.947615 
Test set Size =         381;	Fault Coverage : 0.947615 
Test set Size =         382;	Fault Coverage : 0.947615 
Test set Size =         383;	Fault Coverage : 0.947615 
Test set Size =         384;	Fault Coverage : 0.947615 
Test set Size =         385;	Fault Coverage : 0.947615 
Test set Size =         386;	Fault Coverage : 0.947615 
Test set Size =         387;	Fault Coverage : 0.947615 
Test set Size =         388;	Fault Coverage : 0.947615 
Test set Size =         389;	Fault Coverage : 0.947615 
Test set Size =         390;	Fault Coverage : 0.947615 
Test set Size =         391;	Fault Coverage : 0.947615 
Test set Size =         392;	Fault Coverage : 0.947615 
Test set Size =         393;	Fault Coverage : 0.947615 
Test set Size =         394;	Fault Coverage : 0.948550 
Test set Size =         395;	Fault Coverage : 0.948550 
Test set Size =         396;	Fault Coverage : 0.948550 
Test set Size =         397;	Fault Coverage : 0.948550 
Test set Size =         398;	Fault Coverage : 0.948550 
Test set Size =         399;	Fault Coverage : 0.948550 
Test set Size =         400;	Fault Coverage : 0.948550 
Simulation Time:              2229786 
